"","LUAD16T","LUAD18T","LUAD1T","LUAD23T","PDO1","PDO2","PDO4","PDO5","PDO6","PDO23_MDO1_DIAPH","PDO23_MDO1_Liver","PDO23_MDO2_Brain","PDO6_MDO_Brain","PDO23_MDO3_GB"
"C1orf233",2.88864685764645,3.90687803951434,5.34590270889898,3.52476793308214,4.67973552823061,3.11966330082226,2.57003605536302,2.04774525266351,2.14154871857788,2.46054960715747,0.781280382529336,1.60685454487452,3.71276622930209,1.15183597956835
"RP3-341D10.4",1.80001155045552,1.4211456037853,1.69788127791774,0.924190011801982,2.25041152549417,1.741406835258,2.6641735022631,1.61458363916149,1.30008720126093,0.88032967830755,0.737533578208407,0.862628451169248,1.50443992151353,1.05334009697331
"ZNF883",0.642011665402813,0.8289395549568,2.27154884483741,1.62967987080507,1.38440957373311,1.17756331678237,1.34190562199783,0.801078806035642,0,0,0,0,0,2.20696069704428
"RP3-399L15.3",0.214303737578328,0.561541498742534,1.03992005356155,0.642481247649492,0.343057352302592,1.05773890440819,1.18137431583552,0.319002638096018,0,0.310604669257573,0.692418646890713,0.369904400412676,0.184070550463909,0.709662697260093
"FCF1P2",1.13821098975969,1.17135061508705,0.841639295408085,1.20728506809762,1.4210274141871,2.04432910740735,1.00071766274786,0.801078806035642,1.06820869254606,1.28768765280591,1.01909745884322,1.11707580414611,1.10883953755006,1.56322829755748
"AC005682.5",1.02923038919297,0.927215030252974,0.672709519361798,0.571638023885327,0.90491635121605,0.44419578232728,1.45157155469839,1.89613479428924,2.37976186265113,1.76649933676446,1.79242297305188,1.11707580414611,3.64376007966178,0.983730120795901
"RP11-170J3.2",0,0,0,0.0529733492235183,0,0,0,0,0,1.45504370161753,1.58590901659988,1.57889859934082,0,1.61018076358771
"RP11-20O24.1",0,0,0,0.0529733492235183,0,0,0,0,0,1.17708468185663,0.864984866695228,1.22923665157003,0,1.08692479622895
"PROB1",1.23953428507597,1.46106447696087,2.32953510747645,1.62967987080507,1.59135086042679,1.09879615453548,1.79457030439131,2.13160945472036,1.75551197811692,0.971523030455157,0.692418646890713,1.36638816597523,2.04612461658855,1.01895490297561
"ARL17B",1.13821098975969,0.745195337702251,0.411464790977895,0.71000795223612,0.555593541832155,0.0841902626779583,0.263273666418429,0.319002638096018,0.383689931123896,1.01504537503385,0.329597440969545,0.908276139753283,0.0949689349863333,0.910590438553859
"DHFR",4.95172324943185,4.2389217449103,4.64918971728872,3.57090305829971,5.06817941502424,5.72574084174482,4.89215755242675,5.28642136627422,4.52722267559362,4.52235756825056,3.94714642862502,3.01308097155082,4.76533996228131,4.17070628119024
"SAPCD1",0.111127408379756,0.351050887922422,0,0.83626044090267,0.417436450404331,0.506549191622581,1.13828641086685,0.220303414840357,0.314684473678615,2.02250963005337,1.63442317396587,1.49162564131515,0.74882538202503,2.32424741997236
